!Gene list based on the Araport11 genome release
!Release date of annotation: June 2016 
!Annotated by: Araport at J. Craig Ventner Institute
name	gene_model_type
AT1G05710	protein_coding
AT1G05713	long_noncoding_rna
AT1G05717	long_noncoding_rna
AT1G05720	protein_coding
AT1G05723	antisense_long_noncoding_rna
AT1G05727	antisense_long_noncoding_rna
AT1G05730	protein_coding
AT1G05733	antisense_long_noncoding_rna
AT1G05737	long_noncoding_rna
AT1G05740	protein_coding
AT1G05747	long_noncoding_rna
AT1G05750	protein_coding
AT1G05753	antisense_long_noncoding_rna
AT1G05757	antisense_long_noncoding_rna
AT1G05760	protein_coding
AT1G05763	antisense_long_noncoding_rna
AT1G05767	antisense_long_noncoding_rna
AT1G05770	protein_coding
AT1G05773	antisense_long_noncoding_rna
AT1G05777	antisense_long_noncoding_rna
AT1G05780	protein_coding
AT1G05783	protein_coding
AT1G05785	protein_coding
AT1G05787	antisense_long_noncoding_rna
AT1G05790	protein_coding
AT1G05793	long_noncoding_rna
AT1G05797	long_noncoding_rna
AT1G05800	protein_coding
AT1G05803	long_noncoding_rna
AT1G05805	protein_coding
AT1G05807	long_noncoding_rna
AT1G05810	protein_coding
AT1G05813	other_rna
AT1G05817	long_noncoding_rna
AT1G05820	protein_coding
AT1G05823	long_noncoding_rna
AT1G05827	long_noncoding_rna
AT1G05830	protein_coding
AT1G05833	antisense_long_noncoding_rna
AT1G05835	protein_coding
AT1G05837	antisense_long_noncoding_rna
